artist_id,name,genre,popularity_score
706,Frédéric Chopin,classical,0.75
707,Ludwig van Beethoven,classical,0.73
708,Pyotr Ilyich Tchaikovsky,classical,0.71
709,Joe Hisaishi,classical,0.71
710,Antonio Vivaldi,classical,0.72
711,Claude Debussy,classical,0.7
712,Andrea Bocelli,classical,0.72
713,Howard Shore,classical,0.69
714,Johannes Brahms,classical,0.7
715,Herbert von Karajan,classical,0.7
716,Yo-Yo Ma,classical,0.67
717,Erik Satie,classical,0.68
718,Antônio Carlos Jobim,classical,0.7
719,Wiener Philharmoniker,classical,0.69
720,Academy of St. Martin in the Fields,classical,0.68
721,Camille Saint-Saëns,classical,0.67
722,Sir Simon Rattle,classical,0.66
723,Gustavo Santaolalla,classical,0.66
724,Sir Neville Marriner,classical,0.67
725,George Frideric Handel,classical,0.67
726,Jóhann Jóhannsson,classical,0.66
727,Henry Smith,classical,0.66
728,Sergei Rachmaninoff,classical,0.66
729,Lang Lang,classical,0.65
730,I Virtuosi Italiani,classical,0.68
731,Alexis Ffrench,classical,0.65
732,Edvard Grieg,classical,0.64
733,Víkingur Ólafsson,classical,0.63
734,Yiruma,classical,0.67
735,Claudio Abbado,classical,0.66
736,Nobuo Uematsu,classical,0.62
737,Gabriel Fauré,classical,0.63
738,Franz Liszt,classical,0.64
739,Franz Schubert,classical,0.65
740,Itzhak Perlman,classical,0.63
741,Ólafur Arnalds,classical,0.65
742,Leonard Bernstein,classical,0.62
743,Daniel Barenboim,classical,0.64
744,Antonín Dvořák,classical,0.63
745,Jean-Yves Thibaudet,classical,0.6
746,Felix Mendelssohn,classical,0.63
747,New York Philharmonic,classical,0.61
748,Harold Budd,classical,0.59
749,Philip Glass,classical,0.61
750,Trans-Siberian Orchestra,classical,0.55
