song_id,instrument,confidence_score
3680,instrument al,0.948
3681,instrument al,0.91
3682,instrument al,0.922
3683,instrument al,0.928
3684,instrument al,0.924
3695,instrument al,0.926
3696,instrument al,0.847
3698,instrument al,0.545
3699,instrument al,0.934
3700,instrument al,0.953
3704,instrument al,0.524
3709,instrument al,0.903
3710,instrument al,0.934
3711,instrument al,0.601
3712,instrument al,0.925
3713,instrument al,0.737
3714,instrument al,0.531
3715,instrument al,0.887
3716,instrument al,0.658
3718,instrument al,0.834
3719,instrument al,0.915
3720,instrument al,0.86
3723,instrument al,0.888
3724,instrument al,0.912
3725,instrument al,0.94
3727,instrument al,0.937
3728,instrument al,0.94
3729,instrument al,0.944
3730,instrument al,0.915
3731,instrument al,0.946
3739,instrument al,0.831
3742,instrument al,0.954
3743,instrument al,0.96
3744,instrument al,0.903
3745,instrument al,0.9
3746,instrument al,0.945
3747,instrument al,0.928
3748,instrument al,0.934
3749,instrument al,0.817
3751,instrument al,0.781
3752,instrument al,0.92
3753,instrument al,0.711
3754,instrument al,0.916
3755,instrument al,0.911
3756,instrument al,0.888
3757,instrument al,0.969
3758,instrument al,0.926
3759,instrument al,0.86
3760,instrument al,0.94
3761,instrument al,0.894
3762,instrument al,0.928
3763,instrument al,0.913
3764,instrument al,0.928
3765,instrument al,0.954
3766,instrument al,0.945
3767,instrument al,0.928
3768,instrument al,0.868
3769,instrument al,0.859
3770,instrument al,0.839
3771,instrument al,0.775
3772,instrument al,0.705
3775,instrument al,0.928
3779,instrument al,0.89
3781,instrument al,0.916
3783,instrument al,0.781
3784,instrument al,0.948
3785,instrument al,0.928
3786,instrument al,0.911
3787,instrument al,0.888
3794,instrument al,0.982
3797,instrument al,0.873
3798,instrument al,0.96
3799,instrument al,0.926
3800,instrument al,0.938
3801,instrument al,0.772
3802,instrument al,0.98
3803,instrument al,0.961
3804,instrument al,0.869
3805,instrument al,0.96
3806,instrument al,0.919
3807,instrument al,0.925
3808,instrument al,0.932
3809,instrument al,0.836
3810,instrument al,0.915
3811,instrument al,0.938
3812,instrument al,0.927
3813,instrument al,0.92
3815,instrument al,0.883
3816,instrument al,0.87
3817,instrument al,0.913
3818,instrument al,0.849
3819,instrument al,0.883
3820,instrument al,0.904
3826,instrument al,0.946
3827,instrument al,0.976
3828,instrument al,0.91
3829,instrument al,0.961
3830,instrument al,0.927
3831,instrument al,0.961
3832,instrument al,0.904
3833,instrument al,0.95
3834,instrument al,0.926
3835,instrument al,0.904
3836,instrument al,0.956
3837,instrument al,0.957
3838,instrument al,0.946
3839,instrument al,0.898
3840,instrument al,0.882
3841,instrument al,0.937
3842,instrument al,0.942
3843,instrument al,0.891
3844,instrument al,0.888
3845,instrument al,0.898
3846,instrument al,0.938
3847,instrument al,0.903
3848,instrument al,0.874
3849,instrument al,0.871
3850,instrument al,0.868
3851,instrument al,0.857
3852,instrument al,0.875
3853,instrument al,0.938
3854,instrument al,0.953
3855,instrument al,0.948
3856,instrument al,0.908
3857,instrument al,0.938
3858,instrument al,0.908
3859,instrument al,0.938
3860,instrument al,0.953
3861,instrument al,0.943
3862,instrument al,0.905
3863,instrument al,0.926
3864,instrument al,0.937
3865,instrument al,0.978
3866,instrument al,0.879
3867,instrument al,0.943
3868,instrument al,0.872
3869,instrument al,0.731
3870,instrument al,0.96
3872,instrument al,0.823
3873,instrument al,0.928
3874,instrument al,0.743
3877,instrument al,0.936
3879,instrument al,0.506
3880,instrument al,0.946
3881,instrument al,0.982
3882,instrument al,0.896
3883,instrument al,0.89
3884,instrument al,0.872
3885,instrument al,0.95
3886,instrument al,0.91
3893,instrument al,0.934
3894,instrument al,0.933
3895,instrument al,0.838
3896,instrument al,0.928
3897,instrument al,0.869
3898,instrument al,0.871
3899,instrument al,0.879
3900,instrument al,0.856
3909,instrument al,0.838
3910,instrument al,0.506
3912,instrument al,0.97
3914,instrument al,0.878
3915,instrument al,0.878
3917,instrument al,0.847
3918,instrument al,0.926
3919,instrument al,0.973
3920,instrument al,0.919
